,Cycle,Cand_Name,Cand_Id,Debt_Owed_By_Committee,Transfer_From_Other_Auth_Committee,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Transfer_To_Other_Auth_Committee,Debt_Owe_To_Committee,Contributions,Loans,Refunds,Disbursements,Expenditures,Repayments,Receipts,Avg Annual Income,Avg Mortgage,Avg Age,Avg Household Income,% of With Foodstamps,% Without Foodstamps,%Females,%Males,% Widowed,% Never Married,% Married Spouse Present,% Divorced,% Seperated,% Married Spouse Absent,% White,% Black,% Other Race,% Two major Races,% Japanese,% Other Asian,% Native Indian or Alaska,% Chinese,% Three or More Races,% Citizen,% Non-Citizen,% Naturalized Citizen,% Speak_English ,% Other_Language,% Bachelor Degree,% Lower Education,% Masters or Professional Certificate,% Doctoral Degree,% Employed,% Self_Employed,% Unemployed,Winner
0,2008,"OBAMA, BARACK",P80003338,434954.4,86950000.0,0.0,0.0,0.0,0.0,6066909272.6,0.0,11511910.4,808315858.38,4451866478.75,0.0,780318335.75,22523.9,591.8,47.0,44879.5,90.6,9.4,53.4,46.6,9.5,17.4,56.4,12.4,2.6,1.8,77.0,20.0,0.6,1.0,0.1,0.5,0.6,0.1,0.1,97.0,1.9,1.0,96.4,3.6,40.4,53.3,5.9,0.5,54.9,41.6,3.6,1
1,2008,"MCCONNELL, MITCH",S2KY00012,510783.0,1407349.0,0.0,0.0,112200.0,0.0,54386967.519999996,4172550.0,334982.0,21472146.0,38048957.0,3672550.0,18931153.0,27222.4,902.2,48.6,53308.6,94.2,5.8,52.5,47.5,8.3,12.1,63.4,13.2,1.3,1.6,91.1,6.5,0.4,0.5,0.0,0.6,0.5,0.1,0.2,97.1,1.3,1.6,97.1,2.9,51.8,39.3,8.4,0.5,54.1,43.5,2.4,1
2,2008,"RACZKOWSKI, ANDREW EDWARD",S2MI00128,70420.0,0.0,0.0,0.0,0.0,0.0,1049460.0,0.0,0.0,261430.0,522860.0,0.0,262450.0,20951.6,551.7,47.1,39712.5,89.1,10.9,54.8,45.2,8.7,19.5,54.5,11.5,3.0,2.8,80.5,17.1,0.1,0.9,0.1,0.7,0.3,0.2,0.0,97.3,1.5,1.2,95.4,4.6,41.1,52.6,5.0,1.2,54.3,41.1,4.5,0
3,2008,"DOLE, ELIZABETH",S2NC00083,590210.0,470374.0,0.0,0.0,9016.0,0.0,52132320.0,6000000.0,300584.0,17504734.0,33294449.0,1250000.0,17358078.0,24017.6,658.6,48.2,47650.0,94.2,5.8,54.6,45.4,10.5,13.8,60.9,11.7,1.5,1.6,85.5,11.6,0.0,1.6,0.0,0.7,0.2,0.1,0.2,98.6,0.9,0.5,98.0,2.0,45.3,46.6,7.9,0.2,50.3,46.8,2.9,0
4,2008,"LAUTENBERG, FRANK R",S2NJ00080,1340000.0,366663.0,0.0,0.0,0.0,0.0,26772869.0,-1500000.0,167700.0,8327777.0,15719750.0,0.0,7396039.0,28109.5,812.4,47.2,54993.2,93.5,6.5,55.0,45.0,9.5,23.5,50.3,12.3,2.5,1.9,63.1,35.1,0.4,0.7,0.0,0.5,0.1,0.1,0.0,97.5,1.3,1.2,96.6,3.4,47.8,42.0,9.3,0.9,58.5,38.1,3.4,0
5,2008,"CRESITELLO, DONALD",S2NJ00114,0.0,0.0,0.0,0.0,0.0,0.0,161608.0,46000.0,0.0,63401.0,80802.0,46000.0,63402.0,24870.4,725.1,40.6,45575.0,92.4,7.6,52.1,47.9,4.9,32.1,51.2,8.3,1.7,2.0,75.2,21.0,0.3,0.6,0.1,1.7,0.3,0.8,0.2,94.4,4.1,1.5,93.2,6.8,53.3,32.2,10.8,3.7,59.8,36.3,3.8,0
6,2008,"ALEXANDER, LAMAR",S2TN00058,0.0,96390.0,0.0,0.0,0.0,0.0,21880592.0,0.0,37398.0,4811952.0,8625604.0,0.0,5821635.0,24039.4,680.1,46.3,47208.6,88.6,11.4,54.8,45.2,8.5,22.6,52.3,12.1,2.7,1.8,67.3,28.8,0.4,1.0,0.1,1.5,0.8,0.1,0.0,96.6,1.8,1.6,95.6,4.4,42.8,50.4,5.9,0.9,58.3,37.5,4.2,1
7,2008,"CORNYN, JOHN",S2TX00106,53896.0,495145.0,0.0,0.0,0.0,0.0,47738514.0,0.0,693222.0,17143468.0,30837910.0,0.0,14252084.0,37369.3,997.7,44.5,76499.6,96.2,3.8,52.5,47.5,4.9,16.4,68.4,9.0,0.6,0.8,89.9,6.8,0.8,1.0,0.1,0.7,0.3,0.2,0.1,95.1,4.0,0.9,95.0,5.0,56.2,30.5,12.1,1.2,67.9,29.7,2.4,1
8,2008,"SCHAFFER, ROBERT W",S4CO00171,0.0,846232.0,0.0,0.0,0.0,0.0,24874258.0,0.0,113560.0,7205669.0,14297674.0,0.0,7426921.0,23463.3,747.7,43.1,45748.4,95.0,5.0,53.0,47.0,7.2,26.5,52.1,11.9,1.2,1.2,77.0,21.4,0.2,0.4,0.0,0.4,0.3,0.3,0.0,97.2,1.8,1.0,95.5,4.5,46.1,45.1,7.5,1.3,57.3,39.6,3.1,0
9,2008,"HARKIN, THOMAS RICHARD",S4IA00020,0.0,16863.0,0.0,0.0,0.0,0.0,22761238.0,0.0,220570.0,5773073.0,8323240.0,0.0,6513144.0,28443.2,864.7,42.8,60503.4,86.3,13.7,47.0,53.0,4.5,27.0,51.8,11.5,1.8,3.5,62.9,0.8,0.8,4.7,0.3,2.6,27.8,0.0,0.0,95.1,2.4,2.5,79.6,20.4,48.1,45.0,6.2,0.8,63.7,29.8,6.4,0
10,2008,"JONES, LEROY DEAN",S4KS00085,4287.0,0.0,0.0,0.0,0.0,0.0,67980.0,0.0,0.0,19304.0,51672.0,0.0,19495.0,36608.6,1222.5,42.7,71102.6,95.7,4.3,51.2,48.8,3.1,25.8,54.0,12.7,1.8,2.5,73.7,4.8,1.5,5.4,0.2,7.8,5.9,0.6,0.1,88.6,4.0,7.5,85.9,14.1,56.4,32.8,9.5,1.2,70.9,25.7,3.4,0
11,2008,"KENNEDY, JOHN NEELY",S4LA00065,16127.0,691261.0,0.0,0.0,0.0,0.0,15733370.0,0.0,277850.0,4795721.0,9236829.0,75000.0,4852652.0,20395.4,760.4,47.8,42735.9,87.4,12.6,49.7,50.3,7.6,20.6,54.4,12.3,1.9,3.2,74.5,2.0,5.0,1.8,0.1,0.8,15.6,0.1,0.1,90.4,5.5,4.1,70.1,29.9,44.6,50.4,4.6,0.5,47.3,48.9,3.8,0
12,2008,"KERRY, JOHN FORBES",S4MA00069,0.0,11527086.0,0.0,0.0,214392.0,0.0,12113823.0,0.0,53690.0,14033740.0,20567039.0,698.0,17360645.0,22160.8,991.5,42.4,45262.3,89.9,10.1,51.2,48.8,5.3,32.4,47.7,9.4,2.2,3.1,64.1,1.0,2.7,1.1,0.1,0.8,29.8,0.3,0.0,94.6,3.7,1.7,68.8,31.2,54.1,36.3,8.1,1.5,61.6,34.1,4.2,0
13,2008,"HENDRIX, JOHN ROSS",S4NC00105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31109.5,1092.6,45.2,57731.2,93.4,6.6,52.0,48.0,5.7,23.1,56.1,11.7,1.5,1.9,84.6,3.5,5.2,1.6,0.2,2.6,1.6,0.7,0.1,82.8,11.0,6.2,77.2,22.8,53.1,36.8,9.2,0.9,63.5,33.2,3.3,0
14,2008,"INHOFE, JAMES M",S4OK00083,0.0,90843.0,0.0,0.0,0.0,0.0,19387281.0,0.0,75190.0,5511976.0,10813834.0,0.0,5533638.0,27762.8,944.5,47.1,50733.7,91.9,8.1,53.0,47.0,7.1,23.7,52.3,13.3,1.6,2.0,83.3,2.9,6.0,2.0,0.3,1.7,2.9,0.7,0.1,86.3,7.0,6.6,75.2,24.8,53.0,35.0,10.1,2.0,59.5,37.0,3.5,1
15,2008,"PETTIT, TYRAM HUNTER",S4OR00131,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,1308.0,944.0,0.0,500.0,25375.1,938.5,51.1,46290.1,92.9,7.1,53.2,46.8,9.5,15.4,57.2,15.1,1.4,1.5,92.3,0.4,2.8,1.7,0.1,0.3,2.3,0.1,0.1,93.0,3.7,3.3,90.2,9.8,52.7,38.3,7.3,1.7,51.5,45.1,3.5,0
16,2008,"ROCKEFELLER, JOHN DAVISON IV",S4WV00027,0.0,28200.0,0.0,0.0,0.0,0.0,18185111.0,0.0,29600.0,5795011.0,7661892.0,0.0,5364366.0,20128.1,715.2,48.5,40850.2,85.7,14.3,50.6,49.4,7.3,19.1,59.2,9.8,2.2,2.5,81.2,2.5,11.3,1.5,0.2,0.9,2.1,0.1,0.1,73.3,17.9,8.8,62.1,37.9,42.1,53.2,4.3,0.4,47.4,48.5,4.1,0
17,2008,"CUDDY, DAVID W",S6AK00078,727481.0,0.0,0.0,0.0,0.0,0.0,192532.0,1662280.0,16584.0,862663.0,1501422.0,207316.0,862661.0,20019.4,530.1,47.5,40867.5,88.0,12.0,52.8,47.2,9.7,16.9,57.0,12.2,2.4,1.8,84.2,12.2,0.8,1.4,0.0,0.6,0.6,0.1,0.0,97.3,1.7,1.0,96.4,3.6,38.4,57.2,4.0,0.4,53.2,43.1,3.7,0
18,2008,"SESSIONS, JEFF",S6AL00195,0.0,875153.0,0.0,0.0,115000.0,0.0,14543901.0,0.0,32600.0,3240151.0,6217700.0,0.0,5089619.0,28418.5,850.9,45.4,54720.7,96.2,3.8,52.8,47.2,6.0,15.5,65.9,9.7,0.9,2.0,90.5,0.6,4.0,1.7,0.1,1.5,1.4,0.1,0.0,92.3,4.5,3.2,90.7,9.3,44.3,47.8,7.3,0.6,62.7,35.1,2.2,0
19,2008,"O'DONNELL, CHRISTINE T",S6DE00131,19656.0,0.0,0.0,0.0,0.0,0.0,409428.0,4600.0,2640.0,115458.0,217450.0,9224.0,116825.0,29002.7,786.3,47.1,53027.7,91.1,8.9,55.9,44.1,8.0,21.7,52.0,14.4,1.7,2.2,68.9,25.9,1.7,1.8,0.0,1.6,0.1,0.0,0.1,95.5,2.7,1.8,94.4,5.6,49.3,37.9,11.5,1.2,64.1,32.9,3.0,0
